年月日,曜日,都道府県,平均気温(℃),降水量の合計(mm),"降水量の合計(mm)
現象なし情報",天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2018/5/28,月,大阪府,23.4,0,0,曇,曇
2018/5/29,火,大阪府,23.4,0,0,曇,曇後時々雨
2018/5/30,水,大阪府,19.9,18.5,0,雨,曇
2018/5/31,木,大阪府,19.7,11.5,0,曇一時雨,曇、雷を伴う
2018/6/1,金,大阪府,21,0,0,晴一時曇,快晴
2018/6/2,土,大阪府,21.8,0,1,快晴,晴
2018/6/3,日,大阪府,23.2,0,1,薄曇時々晴,薄曇後晴
2018/6/4,月,大阪府,23.7,0,1,晴後薄曇,晴一時薄曇
2018/6/5,火,大阪府,22.6,9,0,曇後時々雨,雨
2018/6/6,水,大阪府,19.3,48.5,0,大雨,雨時々曇
2018/6/7,木,大阪府,22.8,7,0,曇一時晴,曇
2018/6/8,金,大阪府,23.5,13.5,0,曇一時雨,曇時々雨、雷を伴う
2018/6/9,土,大阪府,24.2,0.5,0,晴,晴後曇
2018/6/10,日,大阪府,21.7,5,0,曇後時々雨,雨後曇
2018/6/11,月,大阪府,23.2,2,0,曇後一時雨,曇時々雨
2018/6/12,火,大阪府,21.8,0,0,曇一時雨,曇後時々晴
2018/6/13,水,大阪府,21.2,0,1,晴,晴
2018/6/14,木,大阪府,21.8,0,1,晴後曇,曇後時々雨
2018/6/15,金,大阪府,20.3,5,0,雨時々曇,曇後時々晴
2018/6/16,土,大阪府,20.9,0,1,晴,快晴
2018/6/17,日,大阪府,22.7,0,1,薄曇一時晴,曇
2018/6/18,月,大阪府,23.5,0,0,曇一時雨,曇
2018/6/19,火,大阪府,23,3,0,曇後雨,雨
2018/6/20,水,大阪府,21.7,57.5,0,大雨,雨後曇
2018/6/21,木,大阪府,23.2,0,0,曇,薄曇後時々晴
2018/6/22,金,大阪府,24.9,0,1,薄曇,曇
2018/6/23,土,大阪府,21.4,15,0,曇時々雨,曇時々雨
2018/6/24,日,大阪府,23.7,1.5,0,曇一時雨後時々晴,薄曇後晴
2018/6/25,月,大阪府,26.6,0,1,晴後一時薄曇,薄曇
2018/6/26,火,大阪府,27.6,0,0,薄曇,曇
2018/6/27,水,大阪府,29.2,0,0,曇一時晴,曇
2018/6/28,木,大阪府,28.7,0,0,曇後一時晴,曇
2018/6/29,金,大阪府,26.7,22.5,0,曇時々雨,曇一時雨
2018/6/30,土,大阪府,27.3,2,0,曇後一時雨、雷を伴う,曇
2018/4/1,日,愛知県,16,0,1,晴後薄曇,薄曇一時晴
2018/4/2,月,愛知県,19,0,1,晴,晴後一時薄曇
2018/4/3,火,愛知県,19.8,0,1,晴一時薄曇,快晴
2018/4/4,水,愛知県,19.2,0,0,晴後時々曇,曇一時雨後晴
2018/4/5,木,愛知県,15.2,0,0,晴後曇,曇一時雨
2018/4/6,金,愛知県,17.2,7,0,曇一時雨,曇一時雨
2018/4/7,土,愛知県,10.7,0,0,曇後一時晴,晴一時曇
2018/4/8,日,愛知県,8.3,0,0,晴一時雨,晴
2018/4/9,月,愛知県,10.2,0,0,曇時々晴,晴
2018/4/10,火,愛知県,13.5,0,1,晴後時々薄曇,曇一時晴
2018/4/11,水,愛知県,16.5,1,0,曇一時雨,曇一時雨、雷を伴う
2018/4/12,木,愛知県,18,2.5,0,薄曇,晴一時薄曇
2018/4/13,金,愛知県,14.5,0,1,晴,晴後一時曇
2018/4/14,土,愛知県,14.5,32,0,曇,大雨
2018/4/15,日,愛知県,13,23.5,0,雨時々曇後晴,晴後一時薄曇
2018/4/16,月,愛知県,13.6,0,1,晴後薄曇,曇
2018/4/17,火,愛知県,13.3,22,0,曇後時々雨,大雨
2018/4/18,水,愛知県,15.7,35.5,0,雨一時曇後晴,快晴
2018/4/19,木,愛知県,16.8,0,1,快晴,快晴
2018/4/20,金,愛知県,19.6,0,1,快晴,快晴
2018/4/21,土,愛知県,19.8,0,1,快晴,快晴
2018/4/22,日,愛知県,21.1,0,1,晴一時薄曇,薄曇時々晴
2018/4/23,月,愛知県,20.2,0,0,薄曇,曇
2018/4/24,火,愛知県,18.4,34,0,雨,大雨
2018/4/25,水,愛知県,17.9,56,0,曇一時雨後晴,晴
2018/4/26,木,愛知県,17.7,0,1,晴後薄曇,曇
2018/4/27,金,愛知県,18.9,0,1,曇,晴一時曇
2018/4/28,土,愛知県,19.1,0,1,快晴,快晴
2018/4/29,日,愛知県,19.4,0,1,快晴,晴
2018/4/30,月,愛知県,19,0,1,曇時々晴,晴
2018/5/1,火,愛知県,21.5,0,1,薄曇時々晴,曇
2018/5/2,水,愛知県,19.4,29,0,曇後雨,雨後時々曇
2018/5/3,木,愛知県,18.9,6.5,0,曇,曇後晴
2018/5/4,金,愛知県,15.6,0,0,晴,晴一時曇
2018/5/5,土,愛知県,18.3,0,1,晴,　曇後晴
2018/5/6,日,愛知県,19.5,7.5,0,　曇後一時雨,雨
2018/5/7,月,愛知県,16.8,37.5,0,雨,曇一時雨
2018/5/8,火,愛知県,17.5,13.5,0,曇後時々雨,雨
2018/5/9,水,愛知県,16.4,9.5,0,曇時々雨後晴,晴一時曇
2018/5/10,木,愛知県,14.8,0,1,晴,晴
2018/5/11,金,愛知県,16.7,0,1,晴時々薄曇,薄曇
2018/5/12,土,愛知県,19.2,0,1,薄曇一時晴,曇
2018/5/13,日,愛知県,17.7,71.5,0,大雨,雨時々曇後一時晴
2018/5/14,月,愛知県,20.9,3,0,晴,晴
2018/5/15,火,愛知県,21.9,0,1,晴時々薄曇,晴後一時薄曇
2018/5/16,水,愛知県,22.5,0,0,薄曇,曇一時雨
2018/5/17,木,愛知県,24.1,0,1,曇後一時晴,晴一時曇
2018/5/18,金,愛知県,25.6,15.5,0,曇一時晴,雨時々曇、雷を伴う
2018/5/19,土,愛知県,18,5,0,晴一時曇,快晴
2018/5/20,日,愛知県,17.2,0,1,晴一時曇,曇
2018/5/21,月,愛知県,20.1,0,0,薄曇一時晴,晴時々薄曇
2018/5/22,火,愛知県,20.3,0,1,晴一時薄曇,晴後曇
2018/5/23,水,愛知県,17.7,11,0,雨一時曇,雨後曇一時晴
2018/5/24,木,愛知県,21.3,0.5,0,快晴,晴後薄曇
2018/5/25,金,愛知県,23,0,1,晴時々薄曇,曇
2018/5/26,土,愛知県,22.8,0,1,曇,晴
2018/5/27,日,愛知県,23.7,0,1,薄曇一時晴,曇
2018/5/28,月,愛知県,22.4,0,1,曇,曇
2018/5/29,火,愛知県,22.7,0,0,曇,曇後一時雨
2018/5/30,水,愛知県,19.5,8.5,0,雨,曇一時雨
2018/5/31,木,愛知県,17.2,35,0,大雨時々曇,曇一時雨後晴
2018/6/1,金,愛知県,21.3,0,1,晴,快晴
2018/6/2,土,愛知県,22.4,0,1,晴,晴
2018/6/3,日,愛知県,22.9,0,1,晴後一時曇,曇後一時晴
2018/6/4,月,愛知県,23.9,0,1,晴,晴時々曇
2018/6/5,火,愛知県,23.6,0,0,曇一時晴,雨一時曇
2018/6/6,水,愛知県,19.4,34.5,0,雨,雨一時曇
2018/6/7,木,愛知県,22.6,2.5,0,曇一時雨後晴,薄曇一時晴
2018/6/8,金,愛知県,22.6,57.5,0,曇後時々雨,大雨後曇一時晴、雷を伴う
2018/6/9,土,愛知県,24.1,1.5,0,晴,晴後曇
2018/6/10,日,愛知県,21.3,1,0,曇後時々雨,雨時々曇
2018/6/11,月,愛知県,24.1,0.5,0,曇後一時雨,曇一時雨後時々晴
2018/6/12,火,愛知県,23.7,0,1,晴,晴
2018/6/13,水,愛知県,22.7,0,1,晴,晴後一時薄曇
2018/6/14,木,愛知県,22.6,0,1,晴後薄曇,曇後一時雨
2018/6/15,金,愛知県,21.6,1.5,0,雨時々曇,曇一時雨
2018/6/16,土,愛知県,21.2,0,1,晴,晴後一時曇
2018/6/17,日,愛知県,21.8,0,0,曇一時晴,曇後時々雨
2018/6/18,月,愛知県,21,12.5,0,雨後晴,晴後一時曇
2018/6/19,火,愛知県,23.1,2.5,0,曇一時晴,雨
2018/6/20,水,愛知県,20.9,41.5,0,雨,雨後曇
2018/6/21,木,愛知県,23.3,0.5,0,曇,晴一時薄曇
2018/6/22,金,愛知県,24.5,0,1,薄曇一時晴,曇
2018/6/23,土,愛知県,20.3,25,0,曇後雨,曇後一時雨
2018/6/24,日,愛知県,24.3,0.5,0,晴時々曇,薄曇後晴
2018/6/25,月,愛知県,27.4,0,1,晴,薄曇
2018/6/26,火,愛知県,26.6,0,0,曇一時晴,曇一時雨
2018/6/27,水,愛知県,27.1,0,0,曇,曇後雨
2018/6/28,木,愛知県,26.8,1.5,0,曇一時雨後一時晴,晴時々曇後一時雨
2018/6/29,金,愛知県,26.4,9.5,0,曇一時雨,曇一時雨
2018/6/30,土,愛知県,27.3,1,0,曇後一時雨、雷を伴う,曇
2018/4/1,日,埼玉県,16,0,1,晴後薄曇,薄曇後晴
2018/4/2,月,埼玉県,17.9,0,1,晴後時々薄曇,曇
2018/4/3,火,埼玉県,17.9,0,1,晴時々薄曇,快晴
2018/4/4,水,埼玉県,20.1,0,1,晴後一時薄曇,曇時々晴
2018/4/5,木,埼玉県,13.3,0,0,曇,曇時々雨
2018/4/6,金,埼玉県,18.1,1,0,曇一時雨,曇時々雨
2018/4/7,土,埼玉県,16.2,0,0,曇一時晴,曇一時雨後晴
2018/4/8,日,埼玉県,11.9,0,0,晴,晴
2018/4/9,月,埼玉県,13.7,0,1,晴一時薄曇,快晴
2018/4/10,火,埼玉県,13.6,0,1,晴,晴後薄曇
2018/4/11,水,埼玉県,17.6,0,0,曇時々晴一時雨,曇時々晴
2018/4/12,木,埼玉県,19.1,0,1,薄曇一時晴,薄曇後晴
2018/4/13,金,埼玉県,15.5,0,1,晴,晴一時曇
2018/4/14,土,埼玉県,15.2,0,0,曇後一時雨,雨時々曇
2018/4/15,日,埼玉県,17.9,19,0,曇一時雨,曇
2018/4/16,月,埼玉県,14.7,0,1,曇時々晴,曇
2018/4/17,火,埼玉県,12.7,2.5,0,曇一時雨,雨
2018/4/18,水,埼玉県,12.7,28,0,雨一時晴,晴後時々曇
2018/4/19,木,埼玉県,16.2,0,1,晴一時曇,晴
2018/4/20,金,埼玉県,18.7,0,1,快晴,快晴
2018/4/21,土,埼玉県,18.9,0,1,快晴,快晴
2018/4/22,日,埼玉県,20.5,0,1,晴一時薄曇,晴時々曇
2018/4/23,月,埼玉県,16.5,0,0,曇,曇
2018/4/24,火,埼玉県,18,1.5,0,曇後雨,雨一時曇
2018/4/25,水,埼玉県,19,57,0,大雨後薄曇一時晴,曇時々雨一時晴
2018/4/26,木,埼玉県,18.9,0,0,晴後薄曇,薄曇
2018/4/27,金,埼玉県,18.5,0,1,曇,晴
2018/4/28,土,埼玉県,20.1,0,1,快晴,快晴
2018/4/29,日,埼玉県,20.1,0,1,快晴,快晴
2018/4/30,月,埼玉県,20.8,0,1,晴時々薄曇,晴一時曇
2018/5/1,火,埼玉県,22.3,0,1,晴後薄曇,薄曇一時晴
2018/5/2,水,埼玉県,20.4,3.5,0,曇後一時雨,雨一時曇
2018/5/3,木,埼玉県,21.9,14,0,曇一時雨,曇後一時晴
2018/5/4,金,埼玉県,18,0,0,晴,晴
2018/5/5,土,埼玉県,18.3,0,1,快晴,薄曇時々晴
2018/5/6,日,埼玉県,21,0,0,薄曇時々晴,曇時々雨
2018/5/7,月,埼玉県,17.9,21,0,曇後雨,雨一時曇
2018/5/8,火,埼玉県,12.9,10.5,0,曇後一時雨,大雨
2018/5/9,水,埼玉県,12.1,35,0,雨後曇,曇一時雨
2018/5/10,木,埼玉県,12.1,9,0,曇時々雨後晴、雷を伴う,晴後一時薄曇
2018/5/11,金,埼玉県,16.4,0,1,晴時々薄曇,薄曇後晴
2018/5/12,土,埼玉県,18.8,0,1,薄曇時々晴,薄曇
2018/5/13,日,埼玉県,17.9,49,0,曇後雨,雨後曇
2018/5/14,月,埼玉県,21.1,0,0,晴一時曇,快晴
2018/5/15,火,埼玉県,22.3,0,1,快晴,晴
2018/5/16,水,埼玉県,23.5,0,1,薄曇時々晴,薄曇
2018/5/17,木,埼玉県,24,0,0,曇,晴時々曇
2018/5/18,金,埼玉県,23.4,0,1,晴時々曇,曇後時々雨
2018/5/19,土,埼玉県,21.5,0,0,曇時々晴,晴
2018/5/20,日,埼玉県,16.8,0,1,晴,薄曇
2018/5/21,月,埼玉県,20.3,0,1,薄曇,薄曇後晴
2018/5/22,火,埼玉県,21,0,1,快晴,晴後薄曇
2018/5/23,水,埼玉県,18.6,9,0,曇後雨,雨後時々曇
2018/5/24,木,埼玉県,20.7,6,0,晴時々曇,晴一時曇
2018/5/25,金,埼玉県,22.8,0,1,薄曇一時晴,薄曇一時晴
2018/5/26,土,埼玉県,21.4,0,1,薄曇,曇時々晴
2018/5/27,日,埼玉県,21.3,0,1,晴一時薄曇,曇
2018/5/28,月,埼玉県,21.6,0,1,曇,曇一時晴
2018/5/29,火,埼玉県,23,0,1,曇,曇
2018/5/30,水,埼玉県,21.1,8.5,0,曇後雨,雨後曇
2018/5/31,木,埼玉県,19.5,0,0,曇後時々雨,曇後一時晴
2018/6/1,金,埼玉県,21.7,0,0,晴,晴時々曇一時雨
2018/6/2,土,埼玉県,21.9,0,1,晴,快晴
2018/6/3,日,埼玉県,22.5,0,1,晴,薄曇時々晴
2018/6/4,月,埼玉県,23.5,0,1,晴,晴
2018/6/5,火,埼玉県,23.2,0,0,曇一時晴,曇時々雨
2018/6/6,水,埼玉県,20.3,12.5,0,雨,雨後時々曇
2018/6/7,木,埼玉県,22.2,1.5,0,曇後晴,晴時々薄曇
2018/6/8,金,埼玉県,23.7,1,0,曇時々晴,曇時々雨、雷を伴う
2018/6/9,土,埼玉県,25.7,0,0,薄曇一時晴,曇後一時雨
2018/6/10,日,埼玉県,20,31,0,雨一時曇,大雨
2018/6/11,月,埼玉県,18.9,50,0,雨,曇一時雨
2018/6/12,火,埼玉県,20.5,0,0,曇,曇
2018/6/13,水,埼玉県,21.5,0,1,曇一時晴,晴時々曇
2018/6/14,木,埼玉県,20.6,0,0,曇,曇
2018/6/15,金,埼玉県,17.6,9.5,0,雨一時曇,雨一時曇
2018/6/16,土,埼玉県,15.9,3,0,曇一時雨,曇
2018/6/17,日,埼玉県,18.7,0,0,曇,曇
2018/6/18,月,埼玉県,19.4,2,0,曇時々雨,曇時々雨
2018/6/19,火,埼玉県,22.7,0,0,曇時々晴,曇後雨
2018/6/20,水,埼玉県,20.8,24.5,0,雨,雨時々曇
2018/6/21,木,埼玉県,21.2,2,0,曇,晴一時曇
2018/6/22,金,埼玉県,23.1,0,1,薄曇一時晴,薄曇時々晴
2018/6/23,土,埼玉県,20.6,16,0,曇後雨,曇時々雨
2018/6/24,日,埼玉県,21.3,2.5,0,雨後薄曇一時晴,薄曇
2018/6/25,月,埼玉県,26.2,0,1,快晴,晴後曇
2018/6/26,火,埼玉県,25.7,0,1,晴後薄曇,曇
2018/6/27,水,埼玉県,27.7,0,0,曇後晴,曇一時晴
2018/6/28,木,埼玉県,27.4,0,0,曇一時雨,晴
2018/6/29,金,埼玉県,28.2,0,1,晴,晴
2018/6/30,土,埼玉県,28.6,0,1,晴後薄曇,晴時々薄曇
2018/4/1,日,奈良県,15.4,0,1,晴後一時薄曇,薄曇後晴
2018/4/2,月,奈良県,17.6,0,1,晴後一時薄曇,快晴
2018/4/3,火,奈良県,18.6,0,1,晴,快晴
2018/4/4,水,奈良県,17.2,0.5,0,晴後時々曇,雨後曇
2018/4/5,木,奈良県,14.4,0,0,曇一時晴,晴時々曇
2018/4/6,金,奈良県,16.2,17,0,雨時々曇,雨後曇
2018/4/7,土,奈良県,10,1,0,曇後一時晴,曇時々晴一時雨
2018/4/8,日,奈良県,7.9,0,1,晴,快晴
2018/4/9,月,奈良県,10.2,0,0,曇一時晴,曇後晴
2018/4/10,火,奈良県,14.3,0,1,晴,薄曇
2018/4/11,水,奈良県,17.9,0,0,曇,曇後一時晴
2018/4/12,木,奈良県,18.3,0,1,薄曇,曇後時々晴
2018/4/13,金,奈良県,13.2,0,1,晴一時薄曇,晴後一時曇
2018/4/14,土,奈良県,14.3,10,0,曇一時晴後一時雨,大雨
2018/4/15,日,奈良県,13.1,65,0,雨後曇,晴一時曇
2018/4/16,月,奈良県,12.5,0,1,晴後薄曇,薄曇
2018/4/17,火,奈良県,13.1,7,0,曇後一時雨,雨
2018/4/18,水,奈良県,14.6,11.5,0,曇一時雨,快晴
2018/4/19,木,奈良県,16.1,0,1,快晴,快晴
2018/4/20,金,奈良県,18.6,0,1,快晴,快晴
2018/4/21,土,奈良県,19.3,0,1,快晴,快晴
2018/4/22,日,奈良県,19.6,0,1,晴後薄曇,晴
2018/4/23,月,奈良県,19.7,0,1,晴後薄曇,曇
2018/4/24,火,奈良県,18.2,6.5,0,雨,大雨
2018/4/25,水,奈良県,15.7,44,0,曇時々雨,曇
2018/4/26,木,奈良県,16.1,0,0,薄曇一時晴,薄曇
2018/4/27,金,奈良県,17,0,0,曇,晴一時曇
2018/4/28,土,奈良県,17.1,0,1,快晴,快晴
2018/4/29,日,奈良県,19.1,0,1,快晴,晴後薄曇
2018/4/30,月,奈良県,18.5,0,1,曇,快晴
2018/5/1,火,奈良県,20.7,0,1,晴,薄曇
2018/5/2,水,奈良県,18.9,6.5,0,曇後雨,雨
2018/5/3,木,奈良県,18.3,6,0,曇,晴一時曇
2018/5/4,金,奈良県,15.4,0,1,晴一時曇,快晴
2018/5/5,土,奈良県,17.9,0,1,晴後一時薄曇,薄曇後一時晴
2018/5/6,日,奈良県,18.6,4,0,曇,雨
2018/5/7,月,奈良県,17.5,58.5,0,大雨,曇時々雨
2018/5/8,火,奈良県,16.4,10.5,0,曇後雨,雨
2018/5/9,水,奈良県,14.8,9,0,曇一時晴,晴
2018/5/10,木,奈良県,13.3,0,1,晴一時曇,晴後一時薄曇
2018/5/11,金,奈良県,15.9,0,1,晴後薄曇,薄曇一時晴
2018/5/12,土,奈良県,18.5,0,1,薄曇,曇
2018/5/13,日,奈良県,17.5,75.5,0,大雨一時曇,雨後曇
2018/5/14,月,奈良県,20.1,0,0,晴一時曇,快晴
2018/5/15,火,奈良県,20.8,0,1,晴後薄曇,薄曇
2018/5/16,水,奈良県,22.7,0,0,曇,曇後一時晴
2018/5/17,木,奈良県,23.8,0,1,曇,晴一時曇
2018/5/18,金,奈良県,24.3,1.5,0,曇一時晴,曇後雨、雷を伴う
2018/5/19,土,奈良県,16.3,6,0,曇後晴,曇時々晴
2018/5/20,日,奈良県,17,0,1,晴後薄曇,薄曇
2018/5/21,月,奈良県,20.2,0,1,晴,晴後一時薄曇
2018/5/22,火,奈良県,20.3,0,1,晴後一時薄曇,晴後曇
2018/5/23,水,奈良県,18.8,6.5,0,雨,　雨一時曇
2018/5/24,木,奈良県,20.9,2,0,快晴,晴後薄曇
2018/5/25,金,奈良県,22.6,0,1,晴時々曇,曇
2018/5/26,土,奈良県,21.9,0,1,曇後一時晴,快晴
2018/5/27,日,奈良県,22.4,0,1,晴後薄曇,曇
2018/5/28,月,奈良県,22.9,0,1,曇,曇
2018/5/29,火,奈良県,23.3,0,1,曇,曇後一時雨
2018/5/30,水,奈良県,19.2,15.5,0,雨,曇時々晴一時雨
2018/5/31,木,奈良県,18.1,15,0,曇時々雨,曇一時雨
2018/6/1,金,奈良県,19.4,0,1,晴一時曇,快晴
2018/6/2,土,奈良県,21,0,1,快晴,快晴
2018/6/3,日,奈良県,22.7,0,1,晴後薄曇,薄曇
2018/6/4,月,奈良県,23.6,0,1,晴,薄曇後一時晴
2018/6/5,火,奈良県,21.7,6,0,曇,雨
2018/6/6,水,奈良県,19.1,51,0,大雨,雨
2018/6/7,木,奈良県,22.5,6,0,曇,曇一時雨
2018/6/8,金,奈良県,22.9,4,0,曇時々雨,曇時々雨、雷を伴う
2018/6/9,土,奈良県,23.6,8,0,晴一時曇,晴後一時曇
2018/6/10,日,奈良県,21.2,1,0,曇後時々雨,雨時々曇
2018/6/11,月,奈良県,22.1,1,0,雨時々曇,曇時々雨
2018/6/12,火,奈良県,20.8,0.5,0,曇一時雨,曇一時晴
2018/6/13,水,奈良県,20.3,0,0,晴時々曇,晴
2018/6/14,木,奈良県,20.8,0,1,晴後曇,曇後雨
2018/6/15,金,奈良県,19.4,13.5,0,雨一時曇,曇
2018/6/16,土,奈良県,19.9,0,0,晴一時曇,快晴
2018/6/17,日,奈良県,21.7,0,1,薄曇一時晴,曇後時々雨
2018/6/18,月,奈良県,22.1,0,0,曇時々雨,曇
2018/6/19,火,奈良県,22.4,12.5,0,曇後雨,雨
2018/6/20,水,奈良県,21.4,75.5,0,大雨,雨時々曇
2018/6/21,木,奈良県,22.4,1.5,0,曇,薄曇後一時晴
2018/6/22,金,奈良県,23.5,0,1,薄曇,薄曇
2018/6/23,土,奈良県,20.4,16.5,0,雨時々曇,曇時々雨
2018/6/24,日,奈良県,22.6,4,0,曇時々雨後晴,薄曇後晴
2018/6/25,月,奈良県,25.8,0,1,晴,薄曇後晴
2018/6/26,火,奈良県,27.1,0,0,曇,曇
2018/6/27,水,奈良県,29.4,0,0,曇一時晴,曇
2018/6/28,木,奈良県,29,0,1,曇,曇
2018/6/29,金,奈良県,26.8,7.5,0,曇一時雨,曇一時雨
2018/6/30,土,奈良県,27.3,4,0,曇後一時雨、雷を伴う,曇後時々晴
2018/4/1,日,福岡県,18.4,0,1,晴,晴
2018/4/2,月,福岡県,19.3,0,1,晴,快晴
2018/4/3,火,福岡県,20.2,0,1,晴,晴後一時曇
2018/4/4,水,福岡県,17.8,0,0,曇時々晴一時雨,曇
2018/4/5,木,福岡県,16.5,2.5,0,曇一時雨,雨時々曇
2018/4/6,金,福岡県,15.2,15.5,0,雨後一時曇,　晴時々曇一時雨
2018/4/7,土,福岡県,8.9,0.5,0,雨時々曇一時晴,晴後一時曇
2018/4/8,日,福岡県,11.5,0,1,晴,晴
2018/4/9,月,福岡県,16,0,1,晴一時薄曇,快晴
2018/4/10,火,福岡県,18.7,0,1,晴後一時薄曇,晴時々曇
2018/4/11,水,福岡県,20.5,0,0,曇一時雨,曇後晴
2018/4/12,木,福岡県,17.9,0,1,晴時々薄曇,薄曇後晴
2018/4/13,金,福岡県,18.3,0,1,晴,曇一時晴
2018/4/14,土,福岡県,19,5.5,0,雨一時曇,　雨時々曇一時霧雨
2018/4/15,日,福岡県,14.3,5.5,0,　曇時々晴一時雨,晴後一時薄曇
2018/4/16,月,福岡県,15,0,1,薄曇時々晴,曇
2018/4/17,火,福岡県,14.4,1.5,0,雨時々曇,晴時々雨一時曇
2018/4/18,水,福岡県,15.2,0,1,晴,快晴
2018/4/19,木,福岡県,16.3,0,1,快晴,快晴
2018/4/20,金,福岡県,17.9,0,1,快晴,快晴
2018/4/21,土,福岡県,19.7,0,1,晴後一時薄曇,薄曇
2018/4/22,日,福岡県,19.9,0,1,晴一時薄曇,曇一時晴
2018/4/23,月,福岡県,20.8,2,0,曇一時雨,雨時々曇
2018/4/24,火,福岡県,17.9,28,0,雨,雨一時曇
2018/4/25,水,福岡県,14,0,0,曇,晴時々曇
2018/4/26,木,福岡県,14.6,0,1,曇,晴時々曇
2018/4/27,金,福岡県,17.2,0,1,晴時々曇,快晴
2018/4/28,土,福岡県,17.3,0,1,快晴,晴
2018/4/29,日,福岡県,20,0,1,晴一時薄曇,曇時々晴
2018/4/30,月,福岡県,20.8,0,0,晴時々曇一時雨,晴
2018/5/1,火,福岡県,20.8,2,0,曇時々晴一時雨,曇時々雨
2018/5/2,水,福岡県,20.8,13.5,0,雨時々曇,曇後晴一時雨
2018/5/3,木,福岡県,16.9,0,0,晴後一時曇,晴一時曇
2018/5/4,金,福岡県,17,0,1,快晴,快晴
