,H.ì`ï[î‘çÜ,H.èWåvëŒè€âcã∆îNåéì˙,H.ójì˙,H.ì`ï[î≠çsì˙,H.ì`ï[èàóùì˙,H.ÉeÅ[ÉuÉãî‘çÜ,H.ãqêîÅiçáåvÅj,H.ãqêîÅiíjÅj,H.ãqêîÅièóÅj,H.ëçè§ïiêî,H.ì`ï[ã‡äz,H.ì`ï[ê≈äz,C.ãqëw
13,No:201900300000386,2018/4/2,åé,2018/4/2 19:08,2018/4/2 20:17,000000012:ÉeÅ[ÉuÉã3,5,5,0,18,10728,788,ìoò^Ç»Çµ
14,No:201900300000387,2018/4/2,åé,2018/4/2 19:14,2018/4/2 21:40,000000016:å@ÇËÇ≤ÇΩÇ¬4,4,4,0,32,18768,1378,ìoò^Ç»Çµ
15,No:201900300000388,2018/4/2,åé,2018/4/2 19:19,2018/4/2 19:59,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,1,1,7,3604,264,ìoò^Ç»Çµ
16,No:201900300000389,2018/4/2,åé,2018/4/2 19:32,2018/4/2 21:10,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,1,1,13,8408,618,ìoò^Ç»Çµ
17,No:201900300000390,2018/4/2,åé,2018/4/2 19:47,2018/4/2 20:32,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,7,4803,353,ìoò^Ç»Çµ
18,No:201900300000391,2018/4/2,åé,2018/4/2 19:47,2018/4/2 20:32,000000009:ÉJÉEÉìÉ^Å[9,-1,-1,0,-7,-4803,-353,ìoò^Ç»Çµ
19,No:201900300000392,2018/4/2,åé,2018/4/2 18:24,2018/4/2 20:23,000000017:å@ÇËÇ≤ÇΩÇ¬5,-11,-11,0,-81,-47191,-3481,ìoò^Ç»Çµ
20,No:201900300000393,2018/4/2,åé,2018/4/3 16:29,2018/4/3 16:31,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,7,4803,353,ìoò^Ç»Çµ
21,No:201900300000394,2018/4/2,åé,2018/4/3 16:31,2018/4/3 16:31,000000017:å@ÇËÇ≤ÇΩÇ¬5,11,11,0,48,47191,3481,ìoò^Ç»Çµ
22,No:201900300000395,2018/4/3,âŒ,2018/4/3 17:05,2018/4/3 20:41,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,1,1,6,5000,368,ìoò^Ç»Çµ
23,No:201900300000396,2018/4/3,âŒ,2018/4/3 18:02,2018/4/3 20:36,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,1,1,22,12972,952,ìoò^Ç»Çµ
24,No:201900300000397,2018/4/3,âŒ,2018/4/3 18:34,2018/4/3 21:28,000000010:ÉeÅ[ÉuÉã1,2,2,0,9,9868,728,ìoò^Ç»Çµ
25,No:201900300000398,2018/4/3,âŒ,2018/4/3 18:51,2018/4/3 21:26,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,2,0,20,12046,886,ìoò^Ç»Çµ
26,No:201900300000399,2018/4/3,âŒ,2018/4/3 19:13,2018/4/3 21:15,000000017:å@ÇËÇ≤ÇΩÇ¬5,14,14,0,74,53979,3979,ìoò^Ç»Çµ
27,No:201900300000400,2018/4/3,âŒ,2018/4/3 19:17,2018/4/3 20:28,000000020:å@ÇËÇ≤ÇΩÇ¬8,8,8,0,58,37996,2796,ìoò^Ç»Çµ
28,No:201900300000401,2018/4/3,âŒ,2018/4/3 19:41,2018/4/3 21:22,000000004:ÉJÉEÉìÉ^Å[4,2,0,2,11,6897,507,ìoò^Ç»Çµ
29,No:201900300000402,2018/4/3,âŒ,2018/4/3 19:41,2018/4/3 21:23,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,11,9684,714,ìoò^Ç»Çµ
30,No:201900300000403,2018/4/3,âŒ,2018/4/3 19:51,2018/4/3 20:50,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,8,4911,361,ìoò^Ç»Çµ
31,No:201900300000404,2018/4/3,âŒ,2018/4/3 20:00,2018/4/3 21:45,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,1,1,12,7382,542,ìoò^Ç»Çµ
32,No:201900300000405,2018/4/4,êÖ,2018/4/4 18:07,2018/4/4 20:17,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,0,3,22,10731,791,ìoò^Ç»Çµ
33,No:201900300000406,2018/4/4,êÖ,2018/4/4 18:49,2018/4/4 20:29,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,11,6508,478,ìoò^Ç»Çµ
34,No:201900300000407,2018/4/4,êÖ,2018/4/4 18:59,2018/4/4 22:11,000000013:å@ÇËÇ≤ÇΩÇ¬1,8,0,8,16,32000,2368,ìoò^Ç»Çµ
35,No:201900300000408,2018/4/4,êÖ,2018/4/4 19:06,2018/4/4 21:34,000000011:ÉeÅ[ÉuÉã2,5,5,0,36,23751,1751,ìoò^Ç»Çµ
36,No:201900300000409,2018/4/4,êÖ,2018/4/4 19:30,2018/4/4 21:38,000000017:å@ÇËÇ≤ÇΩÇ¬5,19,19,0,63,82108,6072,ìoò^Ç»Çµ
37,No:201900300000410,2018/4/4,êÖ,2018/4/4 19:38,2018/4/4 21:50,000000015:å@ÇËÇ≤ÇΩÇ¬3,8,6,2,88,47990,3530,ìoò^Ç»Çµ
38,No:201900300000411,2018/4/4,êÖ,2018/4/4 19:55,2018/4/4 21:44,000000005:ÉJÉEÉìÉ^Å[5,2,1,1,22,14162,1042,ìoò^Ç»Çµ
39,No:201900300000412,2018/4/4,êÖ,2018/4/4 20:50,2018/4/4 22:06,000000007:ÉJÉEÉìÉ^Å[7,1,0,1,5,3325,245,ìoò^Ç»Çµ
40,No:201900300000413,2018/4/4,êÖ,2018/4/4 20:54,2018/4/4 22:41,000000021:å@ÇËÇ≤ÇΩÇ¬9,4,0,4,21,8041,586,ìoò^Ç»Çµ
41,No:201900300000414,2018/4/5,ñÿ,2018/4/5 17:52,2018/4/5 18:25,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,5,2925,215,ìoò^Ç»Çµ
42,No:201900300000415,2018/4/5,ñÿ,2018/4/5 18:04,2018/4/5 19:23,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,0,2,13,8236,606,ìoò^Ç»Çµ
43,No:201900300000416,2018/4/5,ñÿ,2018/4/5 18:59,2018/4/5 20:07,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,2,0,14,10319,759,ìoò^Ç»Çµ
44,No:201900300000417,2018/4/5,ñÿ,2018/4/5 19:15,2018/4/5 21:27,000000015:å@ÇËÇ≤ÇΩÇ¬3,9,6,3,42,40539,2989,ìoò^Ç»Çµ
45,No:201900300000418,2018/4/5,ñÿ,2018/4/5 19:28,2018/4/5 20:42,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,6,3735,275,ìoò^Ç»Çµ
46,No:201900300000419,2018/4/5,ñÿ,2018/4/5 19:38,2018/4/5 21:42,000000010:ÉeÅ[ÉuÉã1,2,2,0,12,9327,687,ìoò^Ç»Çµ
47,No:201900300000420,2018/4/5,ñÿ,2018/4/5 19:50,2018/4/5 20:40,000000012:ÉeÅ[ÉuÉã3,2,1,1,7,4825,355,ìoò^Ç»Çµ
48,No:201900300000421,2018/4/5,ñÿ,2018/4/5 20:06,2018/4/5 21:18,000000004:ÉJÉEÉìÉ^Å[4,2,1,1,7,5333,393,ìoò^Ç»Çµ
49,No:201900300000422,2018/4/6,ã‡,2018/4/6 18:36,2018/4/6 21:25,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,1,1,14,8785,645,ìoò^Ç»Çµ
50,No:201900300000423,2018/4/6,ã‡,2018/4/6 18:37,2018/4/6 20:31,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,4,2,40,22102,1622,ìoò^Ç»Çµ
51,No:201900300000424,2018/4/6,ã‡,2018/4/6 18:54,2018/4/6 20:52,000000019:å@ÇËÇ≤ÇΩÇ¬7,3,3,0,18,15114,1114,ìoò^Ç»Çµ
52,No:201900300000425,2018/4/6,ã‡,2018/4/6 19:00,2018/4/6 23:38,000000010:ÉeÅ[ÉuÉã1,2,1,1,15,9207,677,ìoò^Ç»Çµ
53,No:201900300000426,2018/4/6,ã‡,2018/4/6 19:07,2018/4/6 22:07,000000018:å@ÇËÇ≤ÇΩÇ¬6,3,2,1,24,14421,1061,ìoò^Ç»Çµ
54,No:201900300000427,2018/4/6,ã‡,2018/4/6 19:18,2018/4/6 21:22,000000013:å@ÇËÇ≤ÇΩÇ¬1,18,18,0,18,72000,5328,ìoò^Ç»Çµ
55,No:201900300000428,2018/4/6,ã‡,2018/4/6 19:21,2018/4/6 20:47,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,10,6498,478,ìoò^Ç»Çµ
56,No:201900300000429,2018/4/6,ã‡,2018/4/6 19:26,2018/4/6 21:24,000000004:ÉJÉEÉìÉ^Å[4,2,1,1,16,10728,788,ìoò^Ç»Çµ
57,No:201900300000430,2018/4/6,ã‡,2018/4/6 19:38,2018/4/6 20:49,000000001:ÉJÉEÉìÉ^Å[1,3,3,0,21,13160,963,ìoò^Ç»Çµ
58,No:201900300000431,2018/4/6,ã‡,2018/4/6 20:02,2018/4/6 23:28,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,3,2,71,40254,2954,ìoò^Ç»Çµ
59,No:201900300000432,2018/4/6,ã‡,2018/4/6 20:34,2018/4/6 21:57,000000012:ÉeÅ[ÉuÉã3,3,3,0,12,6336,466,ìoò^Ç»Çµ
60,No:201900300000433,2018/4/6,ã‡,2018/4/6 21:03,2018/4/6 23:24,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,1,5,39,21110,1550,ìoò^Ç»Çµ
61,No:201900300000434,2018/4/6,ã‡,2018/4/6 21:07,2018/4/6 23:05,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,14,8830,650,ìoò^Ç»Çµ
62,No:201900300000435,2018/4/6,ã‡,2018/4/6 21:16,2018/4/6 21:45,000000011:ÉeÅ[ÉuÉã2,2,2,0,8,3993,293,ìoò^Ç»Çµ
63,No:201900300000436,2018/4/6,ã‡,2018/4/6 21:18,2018/4/6 23:33,000000001:ÉJÉEÉìÉ^Å[1,2,1,1,11,7588,558,ìoò^Ç»Çµ
64,No:201900300000437,2018/4/6,ã‡,2018/4/6 21:31,2018/4/6 23:13,000000004:ÉJÉEÉìÉ^Å[4,2,1,1,12,6281,461,ìoò^Ç»Çµ
65,No:201900300000438,2018/4/6,ã‡,2018/4/6 21:32,2018/4/6 22:59,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,13,6908,508,ìoò^Ç»Çµ
66,No:201900300000439,2018/4/6,ã‡,2018/4/6 21:55,2018/4/6 22:12,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,2,1,3,2007,147,ìoò^Ç»Çµ
67,No:201900300000440,2018/4/6,ã‡,2018/4/6 22:18,2018/4/6 23:00,000000011:ÉeÅ[ÉuÉã2,1,1,0,5,3281,241,ìoò^Ç»Çµ
68,No:201900300000441,2018/4/6,ã‡,2018/4/6 22:39,2018/4/6 23:39,000000012:ÉeÅ[ÉuÉã3,1,1,0,2,972,72,ìoò^Ç»Çµ
69,No:201900300000442,2018/4/7,ìy,2018/4/7 17:10,2018/4/7 18:08,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,13,8203,603,ìoò^Ç»Çµ
70,No:201900300000443,2018/4/7,ìy,2018/4/7 17:15,2018/4/7 19:19,000000017:å@ÇËÇ≤ÇΩÇ¬5,11,5,6,22,44000,3256,ìoò^Ç»Çµ
71,No:201900300000444,2018/4/7,ìy,2018/4/7 18:00,2018/4/7 18:38,000000005:ÉJÉEÉìÉ^Å[5,1,1,0,6,3562,262,ìoò^Ç»Çµ
72,No:201900300000445,2018/4/7,ìy,2018/4/7 18:03,2018/4/7 19:12,000000010:ÉeÅ[ÉuÉã1,2,2,0,17,9747,717,ìoò^Ç»Çµ
73,No:201900300000446,2018/4/7,ìy,2018/4/7 18:09,2018/4/7 20:53,000000013:å@ÇËÇ≤ÇΩÇ¬1,7,4,3,46,28978,2128,ìoò^Ç»Çµ
74,No:201900300000447,2018/4/7,ìy,2018/4/7 18:14,2018/4/7 20:13,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,1,1,13,8041,591,ìoò^Ç»Çµ
75,No:201900300000448,2018/4/7,ìy,2018/4/7 18:23,2018/4/7 20:51,000000012:ÉeÅ[ÉuÉã3,3,3,0,19,11483,843,ìoò^Ç»Çµ
76,No:201900300000449,2018/4/7,ìy,2018/4/7 18:29,2018/4/7 19:00,000000007:ÉJÉEÉìÉ^Å[7,2,2,0,7,3194,234,ìoò^Ç»Çµ
77,No:201900300000450,2018/4/7,ìy,2018/4/7 18:33,2018/4/7 21:56,000000002:ÉJÉEÉìÉ^Å[2,2,1,1,16,11367,837,ìoò^Ç»Çµ
78,No:201900300000451,2018/4/7,ìy,2018/4/7 18:33,2018/4/7 19:41,000000021:å@ÇËÇ≤ÇΩÇ¬9,4,2,2,24,13361,981,ìoò^Ç»Çµ
79,No:201900300000452,2018/4/7,ìy,2018/4/7 18:37,2018/4/7 19:44,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,11,6865,505,ìoò^Ç»Çµ
80,No:201900300000453,2018/4/7,ìy,2018/4/7 18:46,2018/4/7 19:36,000000001:ÉJÉEÉìÉ^Å[1,1,0,1,6,3897,287,ìoò^Ç»Çµ
81,No:201900300000454,2018/4/7,ìy,2018/4/7 18:50,2018/4/7 19:31,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,8,4090,300,ìoò^Ç»Çµ
82,No:201900300000455,2018/4/7,ìy,2018/4/7 18:51,2018/4/7 20:44,000000020:å@ÇËÇ≤ÇΩÇ¬8,5,0,5,17,13601,1001,ìoò^Ç»Çµ
83,No:201900300000456,2018/4/7,ìy,2018/4/7 18:58,2018/4/7 21:13,000000011:ÉeÅ[ÉuÉã2,2,2,0,20,13147,967,ìoò^Ç»Çµ
84,No:201900300000457,2018/4/7,ìy,2018/4/7 19:08,2018/4/7 23:41,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,0,4,34,20527,1507,ìoò^Ç»Çµ
85,No:201900300000458,2018/4/7,ìy,2018/4/7 19:30,2018/4/7 20:04,000000006:ÉJÉEÉìÉ^Å[6,2,1,1,9,5192,382,ìoò^Ç»Çµ
86,No:201900300000459,2018/4/7,ìy,2018/4/7 19:40,2018/4/7 22:39,000000019:å@ÇËÇ≤ÇΩÇ¬7,15,15,0,83,60466,4447,ìoò^Ç»Çµ
87,No:201900300000460,2018/4/7,ìy,2018/4/7 19:43,2018/4/7 20:25,000000010:ÉeÅ[ÉuÉã1,2,1,1,10,7221,531,ìoò^Ç»Çµ
88,No:201900300000461,2018/4/7,ìy,2018/4/7 20:24,2018/4/7 21:50,000000005:ÉJÉEÉìÉ^Å[5,2,1,1,7,4749,349,ìoò^Ç»Çµ
89,No:201900300000462,2018/4/7,ìy,2018/4/7 20:54,2018/4/7 21:31,000000009:ÉJÉEÉìÉ^Å[9,2,0,2,7,4436,326,ìoò^Ç»Çµ
90,No:201900300000463,2018/4/7,ìy,2018/4/7 21:23,2018/4/7 23:37,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,1,1,11,5925,435,ìoò^Ç»Çµ
91,No:201900300000464,2018/4/7,ìy,2018/4/7 21:37,2018/4/7 23:20,000000012:ÉeÅ[ÉuÉã3,2,0,2,16,8558,628,ìoò^Ç»Çµ
92,No:201900300000465,2018/4/8,ì˙,2018/4/8 17:35,2018/4/8 18:30,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,1,1,11,6043,443,ìoò^Ç»Çµ
93,No:201900300000466,2018/4/8,ì˙,2018/4/8 17:47,2018/4/8 20:14,000000019:å@ÇËÇ≤ÇΩÇ¬7,2,1,1,14,8883,653,ìoò^Ç»Çµ
94,No:201900300000467,2018/4/8,ì˙,2018/4/8 18:33,2018/4/8 19:30,000000009:ÉJÉEÉìÉ^Å[9,1,1,0,10,6282,462,ìoò^Ç»Çµ
95,No:201900300000468,2018/4/8,ì˙,2018/4/8 18:39,2018/4/8 20:27,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,3,1,29,18780,1380,ìoò^Ç»Çµ
96,No:201900300000469,2018/4/8,ì˙,2018/4/8 18:50,2018/4/8 21:20,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,5,0,37,21854,1607,ìoò^Ç»Çµ
97,No:201900300000470,2018/4/8,ì˙,2018/4/8 18:57,2018/4/8 20:35,000000012:ÉeÅ[ÉuÉã3,5,5,0,25,15435,1135,ìoò^Ç»Çµ
98,No:201900300000471,2018/4/8,ì˙,2018/4/8 19:03,2018/4/8 21:23,000000013:å@ÇËÇ≤ÇΩÇ¬1,8,8,0,8,28000,2072,ìoò^Ç»Çµ
99,No:201900300000472,2018/4/8,ì˙,2018/4/8 19:04,2018/4/8 20:11,000000007:ÉJÉEÉìÉ^Å[7,2,2,0,9,7405,545,ìoò^Ç»Çµ
100,No:201900300000473,2018/4/8,ì˙,2018/4/8 19:05,2018/4/8 21:07,000000021:å@ÇËÇ≤ÇΩÇ¬9,2,2,0,9,8075,595,ìoò^Ç»Çµ
101,No:201900300000474,2018/4/8,ì˙,2018/4/8 19:05,2018/4/8 20:38,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,17,13579,999,ìoò^Ç»Çµ
102,No:201900300000475,2018/4/8,ì˙,2018/4/8 19:15,2018/4/8 20:04,000000002:ÉJÉEÉìÉ^Å[2,1,0,1,6,4058,298,ìoò^Ç»Çµ
103,No:201900300000476,2018/4/8,ì˙,2018/4/8 19:36,2018/4/8 20:37,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,10,6013,443,ìoò^Ç»Çµ
104,No:201900300000477,2018/4/8,ì˙,2018/4/8 19:38,2018/4/8 20:31,000000010:ÉeÅ[ÉuÉã1,2,1,1,11,6368,468,ìoò^Ç»Çµ
105,No:201900300000478,2018/4/8,ì˙,2018/4/8 19:46,2018/4/8 21:14,000000001:ÉJÉEÉìÉ^Å[1,1,1,0,9,6239,459,ìoò^Ç»Çµ
106,No:201900300000479,2018/4/8,ì˙,2018/4/8 20:07,2018/4/8 21:40,000000018:å@ÇËÇ≤ÇΩÇ¬6,3,2,1,21,12454,914,ìoò^Ç»Çµ
107,No:201900300000480,2018/4/8,ì˙,2018/4/8 20:47,2018/4/8 22:19,000000010:ÉeÅ[ÉuÉã1,2,2,0,10,5721,421,ìoò^Ç»Çµ
108,No:201900300000481,2018/4/8,ì˙,2018/4/8 20:58,2018/4/8 22:00,000000012:ÉeÅ[ÉuÉã3,2,1,1,16,8957,657,ìoò^Ç»Çµ
109,No:201900300000482,2018/4/9,åé,2018/4/9 18:18,2018/4/9 20:04,000000014:å@ÇËÇ≤ÇΩÇ¬2,4,4,0,24,13815,1015,ìoò^Ç»Çµ
110,No:201900300000483,2018/4/9,åé,2018/4/9 18:36,2018/4/9 21:21,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,4,0,33,18216,1336,ìoò^Ç»Çµ
111,No:201900300000484,2018/4/9,åé,2018/4/9 18:52,2018/4/9 20:05,000000010:ÉeÅ[ÉuÉã1,3,3,0,14,9606,706,ìoò^Ç»Çµ
112,No:201900300000485,2018/4/9,åé,2018/4/9 18:55,2018/4/9 21:07,000000013:å@ÇËÇ≤ÇΩÇ¬1,4,4,0,20,16366,1206,ìoò^Ç»Çµ
113,No:201900300000486,2018/4/9,åé,2018/4/9 19:08,2018/4/9 19:48,000000012:ÉeÅ[ÉuÉã3,4,4,0,20,12630,930,ìoò^Ç»Çµ
114,No:201900300000487,2018/4/9,åé,2018/4/9 19:11,2018/4/9 20:38,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,16,9119,669,ìoò^Ç»Çµ
115,No:201900300000488,2018/4/9,åé,2018/4/9 19:12,2018/4/9 20:10,000000008:ÉJÉEÉìÉ^Å[8,2,2,0,7,3939,289,ìoò^Ç»Çµ
116,No:201900300000489,2018/4/9,åé,2018/4/9 19:43,2018/4/9 20:09,000000002:ÉJÉEÉìÉ^Å[2,1,1,0,6,3486,256,ìoò^Ç»Çµ
117,No:201900300000490,2018/4/10,âŒ,2018/4/10 17:45,2018/4/10 18:30,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,0,2,9,4813,353,ìoò^Ç»Çµ
118,No:201900300000491,2018/4/10,âŒ,2018/4/10 18:41,2018/4/10 19:13,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,0,2,8,4522,332,ìoò^Ç»Çµ
119,No:201900300000492,2018/4/10,âŒ,2018/4/10 19:09,2018/4/10 20:50,000000015:å@ÇËÇ≤ÇΩÇ¬3,2,1,1,15,8677,637,ìoò^Ç»Çµ
120,No:201900300000493,2018/4/10,âŒ,2018/4/10 19:37,2018/4/10 21:59,000000010:ÉeÅ[ÉuÉã1,2,2,0,20,11573,853,ìoò^Ç»Çµ
121,No:201900300000494,2018/4/10,âŒ,2018/4/10 20:01,2018/4/10 22:40,000000013:å@ÇËÇ≤ÇΩÇ¬1,3,1,2,11,10904,804,ìoò^Ç»Çµ
122,No:201900300000495,2018/4/10,âŒ,2018/4/10 20:10,2018/4/10 22:17,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,1,1,11,6648,488,ìoò^Ç»Çµ
123,No:201900300000496,2018/4/10,âŒ,2018/4/10 20:14,2018/4/10 21:20,000000017:å@ÇËÇ≤ÇΩÇ¬5,3,3,0,8,4653,343,ìoò^Ç»Çµ
124,No:201900300000497,2018/4/10,âŒ,2018/4/10 20:27,2018/4/10 20:52,000000012:ÉeÅ[ÉuÉã3,2,1,1,8,4090,300,ìoò^Ç»Çµ
125,No:201900300000498,2018/4/11,êÖ,2018/4/11 17:43,2018/4/11 21:27,000000015:å@ÇËÇ≤ÇΩÇ¬3,3,3,0,19,10860,800,ìoò^Ç»Çµ
126,No:201900300000499,2018/4/11,êÖ,2018/4/11 18:03,2018/4/11 22:18,000000020:å@ÇËÇ≤ÇΩÇ¬8,6,6,0,65,41762,3072,ìoò^Ç»Çµ
127,No:201900300000500,2018/4/11,êÖ,2018/4/11 18:30,2018/4/11 22:19,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,5,0,41,33181,2441,ìoò^Ç»Çµ
128,No:201900300000501,2018/4/11,êÖ,2018/4/11 18:42,2018/4/11 20:59,000000009:ÉJÉEÉìÉ^Å[9,2,2,0,15,9241,681,ìoò^Ç»Çµ
129,No:201900300000502,2018/4/11,êÖ,2018/4/11 18:51,2018/4/11 21:09,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,2,0,14,9066,666,ìoò^Ç»Çµ
130,No:201900300000503,2018/4/11,êÖ,2018/4/11 19:00,2018/4/11 21:01,000000012:ÉeÅ[ÉuÉã3,4,4,0,4,14000,1036,ìoò^Ç»Çµ
131,No:201900300000504,2018/4/11,êÖ,2018/4/11 19:03,2018/4/11 19:40,000000013:å@ÇËÇ≤ÇΩÇ¬1,3,3,0,11,6822,502,ìoò^Ç»Çµ
132,No:201900300000505,2018/4/11,êÖ,2018/4/11 19:05,2018/4/11 21:18,000000010:ÉeÅ[ÉuÉã1,2,2,0,19,11799,869,ìoò^Ç»Çµ
133,No:201900300000506,2018/4/11,êÖ,2018/4/11 20:18,2018/4/11 21:49,000000013:å@ÇËÇ≤ÇΩÇ¬1,2,1,1,5,2558,188,ìoò^Ç»Çµ
134,No:201900300000507,2018/4/11,êÖ,2018/4/11 20:18,2018/4/11 22:12,000000018:å@ÇËÇ≤ÇΩÇ¬6,2,2,0,14,8969,659,ìoò^Ç»Çµ
135,No:201900300000508,2018/4/12,ñÿ,2018/4/12 18:04,2018/4/12 21:00,000000014:å@ÇËÇ≤ÇΩÇ¬2,2,2,0,16,9047,667,ìoò^Ç»Çµ
136,No:201900300000509,2018/4/12,ñÿ,2018/4/12 18:10,2018/4/12 18:16,000000011:ÉeÅ[ÉuÉã2,2,2,0,0,0,0,ìoò^Ç»Çµ
137,No:201900300000510,2018/4/12,ñÿ,2018/4/12 18:26,2018/4/12 19:54,000000013:å@ÇËÇ≤ÇΩÇ¬1,2,2,0,17,12186,896,ìoò^Ç»Çµ
138,No:201900300000511,2018/4/12,ñÿ,2018/4/12 18:28,2018/4/12 19:53,000000012:ÉeÅ[ÉuÉã3,2,1,1,11,7987,587,ìoò^Ç»Çµ
139,No:201900300000512,2018/4/12,ñÿ,2018/4/12 18:32,2018/4/12 21:05,000000015:å@ÇËÇ≤ÇΩÇ¬3,3,3,0,17,16572,1222,ìoò^Ç»Çµ
140,No:201900300000513,2018/4/12,ñÿ,2018/4/12 18:48,2018/4/12 20:25,000000009:ÉJÉEÉìÉ^Å[9,2,1,1,13,7576,556,ìoò^Ç»Çµ
141,No:201900300000514,2018/4/12,ñÿ,2018/4/12 18:59,2018/4/12 20:08,000000004:ÉJÉEÉìÉ^Å[4,2,2,0,11,6195,455,ìoò^Ç»Çµ
